id;name;date;height;weight;age;hours;status;children;sex
1373913;Marisa Martins;02/05/2013;155;48;45;3;married;2;F
1109818;Rita Fonseca;28/08/2018;166;54;45;3;married;3;F
1158813;Joana Freitas;21/10/2013;150;42;52;3;widow;1;F
1566515;Joana Goncalves;16/11/2015;161;49;59;2;married;2;F
1974509;Francisco Fonseca;22/08/2009;162;52;43;2;married;1;M
1767703;Manuel Martins;25/01/2003;179;85;24;6;single;0;M
1071208;Florbela Freitas;26/09/2008;166;53;28;5;single;0;F
1930916;Rita Cruz;10/11/2016;168;52;56;3;married;2;F
1811504;Antonio Pereira;16/02/2004;154;61;51;2;married;1;M
1235914;Manuel Carvalho;27/08/2014;158;45;38;3;married;2;M
1417018;Manuel Marinho;20/06/2018;173;57;40;3;divorced;2;M
1642316;Joao Freitas;23/10/2016;165;50;54;3;married;2;M
1170413;Susana Goncalves;07/03/2013;157;65;40;2;married;5;F
1560118;Francisco Freitas;15/07/2018;152;53;41;3;married;2;M
1410714;Francisco Martins;25/11/2014;153;58;24;7;single;0;M
1436908;Susana Madeira;09/05/2008;160;49;56;2;divorced;2;F
1294215;Francisco Pinho;25/08/2015;154;58;23;6;single;3;M
1286112;Joao Madeira;19/08/2012;152;78;29;6;single;1;M
1315817;Manuel Pinho;23/12/2017;179;58;29;5;single;0;M
1055806;Catarina Goncalves;21/09/2006;168;53;59;2;widow;3;F
1305314;Florbela Marinho;24/04/2014;154;62;36;4;married;1;F
1953503;Francisco Pereira;03/04/2003;170;79;49;2;married;1;M
1204821;Rita Madeira;11/06/2021;151;45;44;2;married;2;F
1998809;Florbela Goncalves;07/01/2009;169;50;39;4;single;1;F
1105321;Catarina Freitas;10/07/2021;166;70;40;4;single;0;F
1867513;Antonio Fonseca;07/06/2013;164;53;41;3;married;3;M
1967921;Catarina Cruz;13/10/2021;176;61;30;5;single;1;F
1068508;Jose Cruz;12/02/2008;177;90;27;6;married;0;M
1152520;Joao Pinho;29/11/2020;154;66;55;1;single;0;M
1373707;Manuel Fonseca;24/09/2007;175;102;40;3;married;1;M
1776804;Pedro Goncalves;09/03/2004;156;46;32;5;single;0;M
1147413;Joana Pereira;24/03/2013;162;49;34;5;married;2;F
1466415;Joana Marinho;26/11/2015;164;51;57;1;married;3;F
1610119;Pedro Madeira;19/05/2019;163;53;28;5;married;4;M
1710710;Manuel Cruz;27/11/2010;178;55;44;3;married;2;M
1564109;Sonia Marinho;06/11/2009;156;46;41;2;married;3;F
1223600;Marisa Cruz;16/10/2000;171;61;42;4;married;2;F
1705816;Florbela Pereira;12/08/2016;171;58;32;6;married;0;F
1692512;Francisco Madeira;24/09/2012;154;49;23;8;single;0;M
1177213;Catarina Pereira;13/10/2013;175;88;54;1;married;1;F
1337319;Sonia Pinho;11/02/2019;177;63;34;5;single;0;F
1871004;Jose Carvalho;17/09/2004;153;67;26;7;married;1;M
1098118;Manuel Madeira;30/06/2018;165;55;34;4;married;1;M
1058304;Catarina Carvalho;25/09/2004;150;45;59;2;married;4;F
1653302;Francisco Carvalho;05/09/2002;150;66;23;7;single;0;M
1320306;Sonia Fonseca;12/09/2006;152;46;37;4;married;1;F
1200611;Catarina Madeira;24/10/2011;154;63;46;2;single;2;F
1758412;Joana Carvalho;09/08/2012;174;59;37;3;married;2;F
1471416;Sonia Goncalves;07/05/2016;170;52;43;3;married;2;F
1374905;Sonia Pereira;17/10/2005;178;94;37;3;married;3;F
1221721;Pedro Cruz;11/08/2021;161;50;43;3;single;1;M
1359417;Jose Fonseca;28/10/2017;155;68;41;3;married;0;M
1331601;Catarina Marinho;15/01/2001;178;63;43;3;married;2;F
1065208;Pedro Fonseca;09/02/2008;153;80;49;1;married;2;M
1971506;Florbela Cruz;08/10/2006;166;54;47;3;married;3;F
1521112;Susana Marinho;18/08/2012;174;60;35;5;single;0;F
1856501;Antonio Carvalho;02/07/2001;159;73;24;6;single;0;M
1150114;Antonio Goncalves;22/11/2014;158;49;34;3;single;0;M
1658815;Manuel Freitas;11/06/2015;170;51;57;1;widow;2;M
1769504;Joao Tavares;06/08/2004;177;85;32;3;married;2;M
