id;name;date;height;weight;age;hours;status;children;sex
1057689;Alberto Pinto;25/04/2018;171;81;32;4;married;1;M
1081834;Paula Amado;04/06/2010;166;100;30;4;single;0;F
1107146;Francisca Abreu;13/06/2015;156;65;63;6;divorced;1;F
1151245;Barbara Monteiro;21/09/2004;154;46;26;6;single;0;F
1314569;Beatriz Oliveira;09/01/2006;162;93;68;8;widow;2;F
1394267;Xavier Ribeiro;23/07/2018;176;54;22;3;single;0;M
1415238;Carla Mota;10/08/2005;158;95;51;7;divorced;4;F
1561293;Fernando Fonseca;09/11/2020;184;51;34;5;married;1;M
1832539;Guilherme Pereira;05/05/2010;190;47;52;6;married;2;M
1987519;Henrique Resende;11/07/2007;184;64;68;6;widow;3;M
